Protein,Overlap_Ratio,Activity_level,Class,Average Distance
5ht1b,0.995594714,24,A,1.1341637451790112
5ht2a,1.0,100,A,3.8588566827258766
5ht2b,0.995614035,41,A,1.0615215357465317
5ht2c,0.995594714,1,A,1.3677361817983476
aa1r,1.0,100,A,1.9906288520936533
aa2ar,1.0,0,A,1.1944243389878546
acm1,0.995633188,100,A,1.5237873382922649
acm4,1.0,5,A,1.3852764844296723
acm5,0.995726496,5,A,1.1234000341892205
ada2a,0.990521327,1,A,1.96284255378413
ada2c,0.986899563,1,A,1.8880038055393331
adrb1,0.995708155,1,A,1.040833860725585
adrb2,1.0,100,A,1.6186374569517932
agtr1,1.0,86,A,1.8685554805160636
agtr2,1.0,93,A,1.157139918730195
apj,0.991150442,7,A,0.8876627601465575
c5ar1,0.995535714,10,A,1.160700736723646
ccr2,0.991150442,30,A,1.0170325458590221
ccr5,1.0,30,A,2.0081577147092124
ccr7,0.985294118,8,A,1.7223103208080583
ccr9,0.973684211,67,A,1.4308334320474279
cltr1,1.0,41,A,1.1187008246371848
cltr2,0.986363636,41,A,1.8198998617126836
cnr1,1.0,100,A,2.3802411784024473
cnr2,1.0,100,A,1.6462855214655503
crfr1,1.0,100,B1,2.520613111116891
crfr2,1.0,100,B1,3.018446296594929
cxcr2,1.0,100,A,2.571457125938766
cxcr4,0.995391705,7,A,2.0156822713377243
drd1,1.0,100,A,1.4047002728899327
drd2,1.0,100,A,1.4423573722991359
drd3,1.0,100,A,1.4120859109493913
drd4,1.0,1,A,1.1908185166851935
ednrb,1.0,15,A,1.5759127557641508
fpr2,1.0,100,A,1.3181606302989646
fzd4,0.982378855,21,F,1.2245226942287233
gabr1,1.0,52,C,1.3127333823727845
gabr2,0.578947368,99,C,1.9710791759921016
ghrhr,1.0,100,B1,1.9160779309739424
ghsr,0.995670996,1,A,1.052958430676423
glp1r,1.0,100,B1,2.3739681139160864
gnrhr,0.995215311,24,A,1.9452708840204544
gpr52,0.99103139,100,A,2.697368449798835
grm1,1.0,1,C,1.4071100823638947
grm5,1.0,27,C,6.016017822407064
hrh1,1.0,5,A,1.7336650139694865
lpar1,1.0,1,A,1.2496715403063146
lt4r1,0.974789916,7,A,2.0898518834813866
mc4r,1.0,100,A,1.298499763000572
mtr1a,0.969565217,1,A,1.1536641407011623
mtr1b,0.977777778,1,A,1.3091859923356608
nk1r,1.0,1,A,2.9026121181434426
npy1r,0.995575221,1,A,1.8374832536484604
npy2r,0.990825688,1,A,1.4319914756769205
ntr1,1.0,94,A,1.2520988044779355
oprd,1.0,7,A,1.5905743297406152
oprk,0.995670996,7,A,1.53142301962243
oprx,1.0,7,A,1.5477145721133263
opsd,0.99137931,93,A,1.056823794497414
ox2r,0.995884774,1,A,1.5838656940056226
oxyr,0.965686275,24,A,2.025263323421463
p2ry1,1.0,41,A,1.3705700425029106
p2y12,1.0,41,A,1.7294350831633756
pacr,1.0,100,B1,5.4268754543694016
par1,1.0,41,A,2.8759629918070004
pd2r2,0.995495495,31,A,2.073271644175529
pe2r2,1.0,100,A,1.6525393237178678
pe2r3,0.995327103,83,A,1.1144378826850723
pe2r4,1.0,100,A,2.155420942559746
ptafr,0.98173516,41,A,1.5348252318392641
pth1r,1.0,100,B1,2.4332508205675207
s1pr1,0.99543379,1,A,2.015046891952512
smo,1.0,0,F,4.263313445586996
ta2r,0.995515695,41,A,1.099221262210947
v2r,1.0,100,A,5.541794363960073
