Protein,Overlap_Ratio,Activity_level,Class,Average Distance,Delta H3-H6
5ht1b,0.995594714,24,A,1.1341637451790112,0.13171816
5ht2a,1.0,100,A,3.858856682725877,0.2705791
5ht2b,0.995614035,41,A,1.0615215357465315,0.039201498
5ht2c,0.995594714,1,A,1.3677361817983476,0.07910943
aa1r,1.0,100,A,1.9906288520936533,1.1269071
aa2ar,1.0,0,A,1.1944243389878546,0.14692998
acm1,0.995633188,100,A,1.5237873382922649,0.5747726
acm4,1.0,5,A,1.3852764844296723,0.43828106
acm5,0.995726496,5,A,1.1234000341892203,0.25872087
ada2a,0.990521327,1,A,1.96284255378413,0.7274784
ada2c,0.986899563,1,A,1.888003805539333,0.3307624
adrb1,0.995708155,1,A,1.040833860725585,0.1435337
adrb2,1.0,100,A,1.6186374569517932,0.18342388
agtr1,1.0,86,A,1.868555480516064,0.53657925
agtr2,1.0,93,A,1.157139918730195,0.24625707
apj,0.991150442,7,A,0.8876627601465575,0.21984732
c5ar1,0.995535714,10,A,1.160700736723646,0.08631563
ccr2,0.991150442,30,A,1.017032545859022,0.0069520473
ccr5,1.0,30,A,2.0081577147092124,0.4631338
ccr7,0.985294118,8,A,1.7223103208080583,0.39723766
ccr9,0.973684211,67,A,1.430833432047428,0.04557538
cltr1,1.0,41,A,1.1187008246371848,0.20690536
cltr2,0.986363636,41,A,1.819899861712684,0.5497184
cnr1,1.0,100,A,2.3802411784024478,0.10536623
cnr2,1.0,100,A,1.6462855214655503,0.2886014
crfr1,1.0,100,B1,2.520613111116891,0.055283666
crfr2,1.0,100,B1,3.018446296594929,0.0151798725
cxcr2,1.0,100,A,2.571457125938766,0.070050955
cxcr4,0.995391705,7,A,2.0156822713377243,0.42661464
drd1,1.0,100,A,1.4047002728899327,0.08585
drd2,1.0,100,A,1.442357372299136,0.41677225
drd3,1.0,100,A,1.4120859109493913,0.22616053
drd4,1.0,1,A,1.1908185166851937,0.061576962
ednrb,1.0,15,A,1.5759127557641508,0.10067487
fpr2,1.0,100,A,1.3181606302989646,0.7396667
fzd4,0.982378855,21,F,1.2245226942287233,0.006501198
gabr1,1.0,52,C,1.3127333823727845,0.30548394
gabr2,0.578947368,99,C,1.9710791759921016,0.0136522055
ghrhr,1.0,100,B1,1.9160779309739424,0.08716822
ghsr,0.995670996,1,A,1.052958430676423,0.0027531385
glp1r,1.0,100,B1,2.3739681139160864,0.8771312
gnrhr,0.995215311,24,A,1.9452708840204544,0.47648805
gpr52,0.99103139,100,A,2.697368449798835,0.07909584
grm1,1.0,1,C,1.407110082363895,0.15102136
grm5,1.0,27,C,6.016017822407064,0.09289992
hrh1,1.0,5,A,1.7336650139694865,0.46749997
lpar1,1.0,1,A,1.2496715403063146,0.0074750185
lt4r1,0.974789916,7,A,2.0898518834813866,0.086940885
mc4r,1.0,100,A,1.298499763000572,0.113770485
mtr1a,0.969565217,1,A,1.1536641407011623,0.3043443
mtr1b,0.977777778,1,A,1.3091859923356608,0.13727617
nk1r,1.0,1,A,2.9026121181434426,0.719465
npy1r,0.995575221,1,A,1.8374832536484604,0.06452215
npy2r,0.990825688,1,A,1.4319914756769203,0.45928848
ntr1,1.0,94,A,1.2520988044779355,0.12659633
oprd,1.0,7,A,1.5905743297406152,0.21652162
oprk,0.995670996,7,A,1.53142301962243,0.056192517
oprx,1.0,7,A,1.5477145721133263,0.4417987
opsd,0.99137931,93,A,1.056823794497414,0.036523342
ox2r,0.995884774,1,A,1.5838656940056226,0.34124935
oxyr,0.965686275,24,A,2.025263323421463,0.73630637
p2ry1,1.0,41,A,1.3705700425029106,0.36113286
p2y12,1.0,41,A,1.7294350831633756,0.15098405
pacr,1.0,100,B1,5.4268754543694016,0.38707304
par1,1.0,41,A,2.8759629918070004,0.35882312
pd2r2,0.995495495,31,A,2.073271644175529,0.006770849
pe2r2,1.0,100,A,1.6525393237178678,0.107168674
pe2r3,0.995327103,83,A,1.1144378826850725,0.21218395
pe2r4,1.0,100,A,2.155420942559746,0.42201006
ptafr,0.98173516,41,A,1.534825231839264,0.18244004
pth1r,1.0,100,B1,2.4332508205675207,0.2191801
s1pr1,0.99543379,1,A,2.015046891952512,0.28775132
smo,1.0,0,F,4.263313445586996,0.036702394
ta2r,0.995515695,41,A,1.099221262210947,0.1402762
v2r,1.0,100,A,5.541794363960073,0.031124711
